0.000000	8.885641	Hyla meridionalis 1 2
\	776.800659	8280.708984
0.687704	1.836673	Voix
\	130.066147	907.012390
3.321108	6.097085	Voix
\	245.859848	1022.044250
3.581094	3.623027	Pas
\	3012.415039	21703.146484
5.103268	5.166168	Pas
\	1789.878540	21192.773438
5.698719	5.744846	Pas
\	386.117981	21361.591797
6.969295	7.858278	Voix
\	253.153656	822.882324
9.443352	10.856501	Hyla meridionalis 1 2
\	788.772959	8554.813180
9.539799	9.581732	Pas
\	4046.925781	21025.240234
11.238093	14.710160	Hyla meridionalis 1 2
\	870.402100	8490.071289
14.030842	15.037239	Voix
\	182.676743	1008.866882
15.397864	18.542853	Hyla meridionalis 1 2
\	894.715088	8280.708984
18.836385	19.331197	Micro
\	-1.000000	1308.013916
19.901488	20.048254	Micro
\	-1.000000	667.604919
21.633328	26.061472	Vent
\	-1.000000	636.448730
23.193243	24.493171	Hyla meridionalis 1 2
\	882.512024	8704.318359
25.004756	26.187272	Hyla meridionalis 1 2
\	841.856047	8349.960938
26.786916	29.692886	Hyla meridionalis 1 2
\	919.404541	8143.786621
35.047753	35.559338	Hyla meridionalis 1 1
\	799.664490	8349.960938
35.769004	36.066729	Hyla meridionalis 1 1
\	957.157227	4425.940918
36.704114	43.136664	Hyla meridionalis 1 2
\	846.459656	8211.987305
43.405036	43.950167	Hyla meridionalis 1 1
\	944.476196	4347.791504
