0.069746	0.453347	Pelodytes punctatus 1 1
\	1795.514282	3388.733013
2.363306	2.741542	Pelodytes punctatus 1 1
\	1795.514282	3305.440430
3.715300	6.982617	Voix
\	257.144226	1385.094971
3.862838	4.262535	Pelodytes punctatus 1 1
\	1751.075073	3281.521729
6.596333	7.012125	Pelodytes punctatus 1 1
\	1707.427490	3502.032471
8.227309	8.610911	Pelodytes punctatus 1 1
\	1599.397277	3148.356273
8.412404	8.452642	Déplacement
\	-1.000000	1105.919556
8.967687	9.294955	Voix
\	174.903702	405.108246
10.558425	10.933979	Pelodytes punctatus 1 1
\	1795.514282	3050.055908
12.036497	12.395956	Pelodytes punctatus 1 1
\	1871.376953	3281.521729
14.372978	14.761945	Pelodytes punctatus 1 1
\	1825.587158	3353.708496
15.647178	16.060288	Pelodytes punctatus 1 1
\	1795.514282	3305.440430
17.946104	18.262642	Pelodytes punctatus 1 1
\	1871.376953	3329.502686
19.456366	19.923126	Pelodytes punctatus 1 1
\	1721.889526	3476.939697
20.942486	22.369590	Voix
\	304.122101	950.749878
22.648573	23.026809	Pelodytes punctatus 1 1
\	1707.427490	3402.558838
24.046170	24.443184	Pelodytes punctatus 1 1
\	1721.889526	3378.061035
31.348007	31.675276	Pelodytes punctatus 1 1
\	1678.761719	3402.558838
32.694636	33.094332	Pelodytes punctatus 1 1
\	1650.437134	3329.502686
35.980731	36.294587	Pelodytes punctatus 1 1
\	1765.799805	3305.440430
